Approved,Title,CommitCount,Reviews
True,"fix name display logic, design issues",1,Ritesh  Sainju
True,refine reply with text,1,Ritesh  Sainju
True,"Resolve KS-1381 ""Refactor/chat number sharing/""",3,Sundar Shahi
True,refactor shared access and number settings,2,Ritesh  Sainju
True,Develop,22,[]
True,"Resolve KS-1310 ""Task/ui number sharing agents/""",3,Ritesh  Sainju
True,fix codegen generate,1,Ritesh  Sainju
True,Feature/access management,9,[]
True,"Resolve KS-1308 ""Feature/reply text call widget/""",5,Sundar Shahi
True,"Resolve KS-1366 ""Refactor/csv import/""",2,Ritesh  Sainju
True,fix: [BUG] restricted to create empty tag shown error toast,1,Ritesh  Sainju
True,hide Incoming call strategy for Member's view,1,Abin Khatiwada
True,fix flickering issue in widget,1,Ritesh  Sainju
True,Develop,4,[]
True,fetched card bran from api,1,Ritesh  Sainju
True,Changes made for Number sharing,3,Sundar Shahi
True,Merge Develop to Staging,20,[]
True,"Resolve KS-1307 ""Task/import csv contact integration/""",2,Sundar Shahi
True,"Resolve KS-1350 ""Task/ui settings refine refactor/""",9,Sundar Shahi
True,Feature/setup stripe sdk and Payment flow,15,Ritesh  Sainju
True,"Resolve KS-1343 ""Task/new ui billings/""",4,Sundar Shahi
True,Feature/fetch plans from api,2,Ritesh  Sainju
True,"Resolve KS-1342 ""Task/ui auto reply settings/""",2,Sundar Shahi
True,merge Develop in staging,26,[]
True,Task/handle case for international calls,5,Sundar Shahi
True,Bugs/hot fixes,2,Ritesh  Sainju
True,Feature/authorization,17,Ritesh  Sainju
True,new ui implementation csv,1,Ritesh  Sainju
True,Feature/access management,2,[]
True,"Resolve KS-1326 ""Task/refine contact detail pp/""",2,Sundar Shahi
True,merge develop code in staging,42,[]
True,Feature/access management,6,Tashi Lama
True,Task/call recording fixes,3,Sundar Shahi
True,update sideworkspacebar with member view,1,Abin Khatiwada
True,Feature/access management,3,Ritesh  Sainju
True,Hotfix/make default auth admin,1,Ritesh  Sainju
True,"Resolve KS-1311 ""Task/ui rbac/ 1306""",2,Abin Khatiwada
True,Task/disable transferbtn for transferred call,2,Sundar Shahi
True,"Resolve KS-1212 ""Task/ui rbac billings/""",6,Abin Khatiwada
